Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,Repository
bankintegration,com.nagad.bank,Bank,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),bankintegration
bankintegration,com.nagad.bank,BankApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),bankintegration
bankintegration,com.nagad.bank,BengalCommercialBank,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),bankintegration
bankintegration,com.nagad.bank,HomePay,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),bankintegration
bankintegration,com.nagad.bank,MidlandBank,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),bankintegration
bankintegration,com.nagad.bank.exception,AsymmetricEncryptionFailure,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),bankintegration
bankintegration,com.nagad.bank.exception,ResourceNotFoundException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),bankintegration
bankintegration,com.nagad.bank.exception,SignatureVerificationException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),bankintegration
bankintegration,com.nagad.bank.exception,SymmetricEncryptionFailure,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),bankintegration
bankintegration,com.nagad.bank.model,PostmantDataPrepare,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),bankintegration
bankintegration,com.nagad.bank.model,TransactionInfo,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods,bankintegration
billpayKSL,com.ngd.billpay,BillPay,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),billpayKSL
billpayKSL,com.ngd.billpay,BillpayApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),billpayKSL
billpayKSL,com.ngd.billpay.exception,AsymmetricEncryptionFailure,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),billpayKSL
billpayKSL,com.ngd.billpay.exception,ResourceNotFoundException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),billpayKSL
billpayKSL,com.ngd.billpay.exception,SensitiveDataEncryptionException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),billpayKSL
billpayKSL,com.ngd.billpay.exception,SignatureVerificationException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),billpayKSL
billpayKSL,com.ngd.billpay.exception,SymmetricEncryptionFailure,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),billpayKSL
billpayKSL,com.ngd.billpay.model,InitializeRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),billpayKSL
billpayKSL,com.ngd.billpay.model,InitializeResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),billpayKSL
billpayKSL,com.ngd.billpay.model,SensitiveDataInitializeResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),billpayKSL
billpayKSL,com.ngd.billpay.model,TransactionStatus,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 35 public methods,billpayKSL
mfi,com.ngd.mfi.exception,AsymmetricEncryptionFailure,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),mfi
mfi,com.ngd.mfi.exception,ResourceNotFoundException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),mfi
mfi,com.ngd.mfi.exception,SignatureVerificationException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),mfi
mfi,com.ngd.mfi.exception,SymmetricEncryptionFailure,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),mfi
mfi,com.ngd.mfi,MfiApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),mfi
mfi,com.ngd.mfi.model,TransactionInfo,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods,mfi
mfi,com.ngd.mfi.model.m2c,BatchItemModel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),mfi
mfi,com.ngd.mfi.model.m2c,ContentModel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),mfi
mfi,com.ngd.mfi.model.m2c,SummaryModel,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 47 public methods,mfi
mfi,com.ngd.mfi.service,MicroFinanceServiceLive,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),mfi
onlinepay,(default package),MavenWrapperDownloader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.exception,AsymmetricEncryptionFailure,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.exception,ResourceNotFoundException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.exception,SensitiveDataEncryptionException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.exception,SymmetricEncryptionFailure,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.model,BIMANLIVE,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.model,BTCLBOSSLIVE,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.model,CNSBDLIVE,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.model,InitializeRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.model,Payment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.model,PaymentGateway,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.model,PaymentGatewayLIVE,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.model,PaymentGatewayPaytm,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.model,VerifyResponse,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 32 public methods,onlinepay
onlinepay,com.nagad.onlinepay,OnlinepayApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
onlinepay,com.nagad.onlinepay.util,SslWarningRemover,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),onlinepay
